image_path,label,label_id
spectrogram_images\cel_0.png,cel,0
spectrogram_images\cel_1.png,cel,0
spectrogram_images\cel_10.png,cel,0
spectrogram_images\cel_100.png,cel,0
spectrogram_images\cel_101.png,cel,0
spectrogram_images\cel_102.png,cel,0
spectrogram_images\cel_103.png,cel,0
spectrogram_images\cel_104.png,cel,0
spectrogram_images\cel_105.png,cel,0
spectrogram_images\cel_106.png,cel,0
spectrogram_images\cel_107.png,cel,0
spectrogram_images\cel_108.png,cel,0
spectrogram_images\cel_109.png,cel,0
spectrogram_images\cel_11.png,cel,0
spectrogram_images\cel_110.png,cel,0
spectrogram_images\cel_111.png,cel,0
spectrogram_images\cel_112.png,cel,0
spectrogram_images\cel_113.png,cel,0
spectrogram_images\cel_114.png,cel,0
spectrogram_images\cel_115.png,cel,0
spectrogram_images\cel_116.png,cel,0
spectrogram_images\cel_117.png,cel,0
spectrogram_images\cel_118.png,cel,0
spectrogram_images\cel_119.png,cel,0
spectrogram_images\cel_12.png,cel,0
spectrogram_images\cel_120.png,cel,0
spectrogram_images\cel_121.png,cel,0
spectrogram_images\cel_122.png,cel,0
spectrogram_images\cel_123.png,cel,0
spectrogram_images\cel_124.png,cel,0
spectrogram_images\cel_125.png,cel,0
spectrogram_images\cel_126.png,cel,0
spectrogram_images\cel_127.png,cel,0
spectrogram_images\cel_128.png,cel,0
spectrogram_images\cel_129.png,cel,0
spectrogram_images\cel_13.png,cel,0
spectrogram_images\cel_130.png,cel,0
spectrogram_images\cel_131.png,cel,0
spectrogram_images\cel_132.png,cel,0
spectrogram_images\cel_133.png,cel,0
spectrogram_images\cel_134.png,cel,0
spectrogram_images\cel_135.png,cel,0
spectrogram_images\cel_136.png,cel,0
spectrogram_images\cel_137.png,cel,0
spectrogram_images\cel_138.png,cel,0
spectrogram_images\cel_139.png,cel,0
spectrogram_images\cel_14.png,cel,0
spectrogram_images\cel_140.png,cel,0
spectrogram_images\cel_141.png,cel,0
spectrogram_images\cel_142.png,cel,0
spectrogram_images\cel_143.png,cel,0
spectrogram_images\cel_144.png,cel,0
spectrogram_images\cel_145.png,cel,0
spectrogram_images\cel_146.png,cel,0
spectrogram_images\cel_147.png,cel,0
spectrogram_images\cel_148.png,cel,0
spectrogram_images\cel_149.png,cel,0
spectrogram_images\cel_15.png,cel,0
spectrogram_images\cel_150.png,cel,0
spectrogram_images\cel_151.png,cel,0
spectrogram_images\cel_152.png,cel,0
spectrogram_images\cel_153.png,cel,0
spectrogram_images\cel_154.png,cel,0
spectrogram_images\cel_155.png,cel,0
spectrogram_images\cel_156.png,cel,0
spectrogram_images\cel_157.png,cel,0
spectrogram_images\cel_158.png,cel,0
spectrogram_images\cel_159.png,cel,0
spectrogram_images\cel_16.png,cel,0
spectrogram_images\cel_160.png,cel,0
spectrogram_images\cel_161.png,cel,0
spectrogram_images\cel_162.png,cel,0
spectrogram_images\cel_163.png,cel,0
spectrogram_images\cel_164.png,cel,0
spectrogram_images\cel_165.png,cel,0
spectrogram_images\cel_166.png,cel,0
spectrogram_images\cel_167.png,cel,0
spectrogram_images\cel_168.png,cel,0
spectrogram_images\cel_169.png,cel,0
spectrogram_images\cel_17.png,cel,0
spectrogram_images\cel_170.png,cel,0
spectrogram_images\cel_171.png,cel,0
spectrogram_images\cel_172.png,cel,0
spectrogram_images\cel_173.png,cel,0
spectrogram_images\cel_174.png,cel,0
spectrogram_images\cel_175.png,cel,0
spectrogram_images\cel_176.png,cel,0
spectrogram_images\cel_177.png,cel,0
spectrogram_images\cel_178.png,cel,0
spectrogram_images\cel_179.png,cel,0
spectrogram_images\cel_18.png,cel,0
spectrogram_images\cel_180.png,cel,0
spectrogram_images\cel_181.png,cel,0
spectrogram_images\cel_182.png,cel,0
spectrogram_images\cel_183.png,cel,0
spectrogram_images\cel_184.png,cel,0
spectrogram_images\cel_185.png,cel,0
spectrogram_images\cel_186.png,cel,0
spectrogram_images\cel_187.png,cel,0
spectrogram_images\cel_188.png,cel,0
spectrogram_images\cel_189.png,cel,0
spectrogram_images\cel_19.png,cel,0
spectrogram_images\cel_190.png,cel,0
spectrogram_images\cel_191.png,cel,0
spectrogram_images\cel_192.png,cel,0
spectrogram_images\cel_193.png,cel,0
spectrogram_images\cel_194.png,cel,0
spectrogram_images\cel_195.png,cel,0
spectrogram_images\cel_196.png,cel,0
spectrogram_images\cel_197.png,cel,0
spectrogram_images\cel_198.png,cel,0
spectrogram_images\cel_199.png,cel,0
spectrogram_images\cel_2.png,cel,0
spectrogram_images\cel_20.png,cel,0
spectrogram_images\cel_200.png,cel,0
spectrogram_images\cel_201.png,cel,0
spectrogram_images\cel_202.png,cel,0
spectrogram_images\cel_203.png,cel,0
spectrogram_images\cel_204.png,cel,0
