file_name,instrument,family,source,full_path
train_000001.wav,676,5,NSynth-mini,nsynth_audio/train/train_000001.wav
train_000002.wav,192,5,NSynth-mini,nsynth_audio/train/train_000002.wav
train_000003.wav,608,2,NSynth-mini,nsynth_audio/train/train_000003.wav
train_000004.wav,909,0,NSynth-mini,nsynth_audio/train/train_000004.wav
train_000005.wav,120,8,NSynth-mini,nsynth_audio/train/train_000005.wav
train_000006.wav,763,4,NSynth-mini,nsynth_audio/train/train_000006.wav
train_000007.wav,579,0,NSynth-mini,nsynth_audio/train/train_000007.wav
train_000008.wav,199,4,NSynth-mini,nsynth_audio/train/train_000008.wav
train_000009.wav,614,0,NSynth-mini,nsynth_audio/train/train_000009.wav
train_000010.wav,575,6,NSynth-mini,nsynth_audio/train/train_000010.wav
train_000011.wav,288,4,NSynth-mini,nsynth_audio/train/train_000011.wav
train_000012.wav,340,4,NSynth-mini,nsynth_audio/train/train_000012.wav
train_000013.wav,216,5,NSynth-mini,nsynth_audio/train/train_000013.wav
train_000014.wav,33,1,NSynth-mini,nsynth_audio/train/train_000014.wav
train_000015.wav,153,1,NSynth-mini,nsynth_audio/train/train_000015.wav
train_000016.wav,839,4,NSynth-mini,nsynth_audio/train/train_000016.wav
train_000017.wav,723,0,NSynth-mini,nsynth_audio/train/train_000017.wav
train_000018.wav,889,6,NSynth-mini,nsynth_audio/train/train_000018.wav
train_000019.wav,149,10,NSynth-mini,nsynth_audio/train/train_000019.wav
train_000020.wav,876,0,NSynth-mini,nsynth_audio/train/train_000020.wav
train_000021.wav,724,4,NSynth-mini,nsynth_audio/train/train_000021.wav
train_000022.wav,68,0,NSynth-mini,nsynth_audio/train/train_000022.wav
train_000023.wav,678,0,NSynth-mini,nsynth_audio/train/train_000023.wav
train_000024.wav,598,4,NSynth-mini,nsynth_audio/train/train_000024.wav
train_000025.wav,239,5,NSynth-mini,nsynth_audio/train/train_000025.wav
train_000026.wav,480,0,NSynth-mini,nsynth_audio/train/train_000026.wav
train_000027.wav,645,5,NSynth-mini,nsynth_audio/train/train_000027.wav
train_000028.wav,622,6,NSynth-mini,nsynth_audio/train/train_000028.wav
train_000029.wav,244,9,NSynth-mini,nsynth_audio/train/train_000029.wav
train_000030.wav,69,5,NSynth-mini,nsynth_audio/train/train_000030.wav
train_000031.wav,231,3,NSynth-mini,nsynth_audio/train/train_000031.wav
